INDEX;MESS_DATUM;LUFTTEMP_INT;LUFTTEMP_FLOAT;LUFTFEUCHTIGKEIT;
100161;2023122506;110;11,0;77;
100162;2023122505;107;10,7;82;
100163;2023122504;99;9,9;86;
100164;2023122503;105;10,5;81;
100165;2023122502;99;9,9;85;
100166;2023122501;100;10,0;84;
100167;2023122500;99;9,9;89;
100168;2023122423;97;9,7;91;
100169;2023122422;115;11,5;90;
100170;2023122421;111;11,1;93;
100171;2023122420;113;11,3;87;
100172;2023122419;109;10,9;89;
100173;2023122418;98;9,8;94;
100174;2023122417;99;9,9;93;
100175;2023122416;96;9,6;94;
100176;2023122415;95;9,5;95;
100177;2023122414;98;9,8;93;
100178;2023122413;94;9,4;95;
100179;2023122412;93;9,3;95;
100180;2023122411;89;8,9;94;
100181;2023122410;87;8,7;93;
100182;2023122409;85;8,5;94;
100183;2023122408;80;8,0;94;
100184;2023122407;46;4,6;97;
100185;2023122406;14;1,4;97;
100186;2023122405;9;0,9;96;
100187;2023122404;6;0,6;95;
100188;2023122403;4;0,4;96;
100189;2023122402;4;0,4;95;
100190;2023122401;4;0,4;95;
100191;2023122400;7;0,7;93;
100192;2023122323;18;1,8;91;
100193;2023122322;25;2,5;88;
100194;2023122321;27;2,7;86;
100195;2023122320;26;2,6;85;
100196;2023122319;23;2,3;86;
100197;2023122318;21;2,1;85;
100198;2023122317;21;2,1;86;
100199;2023122316;20;2,0;84;
100200;2023122315;20;2,0;87;
100201;2023122314;18;1,8;87;
100202;2023122313;14;1,4;87;
100203;2023122312;10;1,0;91;
100204;2023122311;11;1,1;91;
100205;2023122310;15;1,5;89;
100206;2023122309;24;2,4;84;
100207;2023122308;21;2,1;83;
100208;2023122307;24;2,4;80;
100209;2023122306;25;2,5;76;
100210;2023122305;20;2,0;73;
100211;2023122304;15;1,5;79;
100212;2023122303;16;1,6;81;
100213;2023122302;14;1,4;86;
100214;2023122301;13;1,3;90;
100215;2023122300;12;1,2;88;
100216;2023122223;7;0,7;84;
100217;2023122222;2;0,2;92;
100218;2023122221;34;3,4;72;
100219;2023122220;41;4,1;73;
100220;2023122219;37;3,7;71;
100221;2023122218;35;3,5;72;
100222;2023122217;36;3,6;71;
100223;2023122216;37;3,7;73;
100224;2023122215;36;3,6;71;
100225;2023122214;48;4,8;65;
100226;2023122213;46;4,6;66;
100227;2023122212;47;4,7;61;
100228;2023122211;44;4,4;66;
100229;2023122210;40;4,0;68;
100230;2023122209;31;3,1;76;
100231;2023122208;35;3,5;78;
100232;2023122207;26;2,6;81;
100233;2023122206;26;2,6;83;
100234;2023122205;35;3,5;80;
100235;2023122204;41;4,1;75;
100236;2023122203;42;4,2;73;
100237;2023122202;44;4,4;71;
100238;2023122201;49;4,9;64;
100239;2023122200;51;5,1;67;
100240;2023122123;52;5,2;70;
100241;2023122122;53;5,3;69;
100242;2023122121;57;5,7;73;
100243;2023122120;62;6,2;73;
100244;2023122119;66;6,6;71;
100245;2023122118;65;6,5;80;
100246;2023122117;71;7,1;80;
100247;2023122116;78;7,8;79;
100248;2023122115;97;9,7;87;
100249;2023122114;89;8,9;92;
100250;2023122113;87;8,7;92;
100251;2023122112;86;8,6;90;
100252;2023122111;84;8,4;89;
100253;2023122110;81;8,1;91;
100254;2023122109;77;7,7;92;
100255;2023122108;75;7,5;93;
100256;2023122107;77;7,7;91;
100257;2023122106;83;8,3;91;
100258;2023122105;79;7,9;92;
100259;2023122104;72;7,2;92;
100260;2023122103;70;7,0;91;
100261;2023122102;66;6,6;87;
100262;2023122101;53;5,3;91;
100263;2023122100;42;4,2;94;
100264;2023122023;41;4,1;89;
100265;2023122022;45;4,5;86;
100266;2023122021;52;5,2;78;
100267;2023122020;52;5,2;79;
100268;2023122019;53;5,3;79;
100269;2023122018;50;5,0;82;
