INDEX;MESS_DATUM;LUFTTEMP_INT;LUFTTEMP_FLOAT;LUFTFEUCHTIGKEIT;
122312;2021060108;69;6,9;56;
122313;2021060107;69;6,9;65;
122314;2021060106;69;6,9;68;
122315;2021060105;69;6,9;70;
122316;2021060104;69;6,9;72;
122317;2021060103;69;6,9;71;
122318;2021060102;69;6,9;67;
122319;2021060101;69;6,9;64;
122320;2021060100;69;6,9;58;
122321;2021053123;69;6,9;54;
122322;2021053122;69;6,9;51;
122323;2021053121;69;6,9;46;
122324;2021053120;69;6,9;42;
122325;2021053119;69;6,9;38;
122326;2021053118;69;6,9;34;
122327;2021053117;69;6,9;29;
122328;2021053116;69;6,9;25;
122329;2021053115;69;6,9;27;
122330;2021053114;69;6,9;31;
122331;2021053113;69;6,9;30;
122332;2021053112;69;6,9;27;
122333;2021053111;69;6,9;38;
122334;2021053110;69;6,9;37;
122335;2021053109;69;6,9;47;
122336;2021053108;69;6,9;55;
122337;2021053107;69;6,9;62;
122338;2021053106;69;6,9;71;
122339;2021053105;69;6,9;74;
122340;2021053104;69;6,9;78;
122341;2021053103;69;6,9;75;
122342;2021053102;69;6,9;71;
122343;2021053101;69;6,9;67;
122344;2021053100;69;6,9;62;
122345;2021053023;69;6,9;57;
122346;2021053022;69;6,9;52;
122347;2021053021;69;6,9;48;
122348;2021053020;69;6,9;43;
122349;2021053019;69;6,9;38;
122350;2021053018;69;6,9;36;
122351;2021053017;69;6,9;33;
122352;2021053016;69;6,9;29;
122353;2021053015;69;6,9;34;
122354;2021053014;69;6,9;34;
122355;2021053013;69;6,9;36;
122356;2021053012;69;6,9;36;
122357;2021053011;69;6,9;36;
122358;2021053010;69;6,9;36;
122359;2021053009;69;6,9;36;
122360;2021053008;69;6,9;45;
122361;2021053007;69;6,9;48;
122362;2021053006;69;6,9;57;
122363;2021053005;69;6,9;62;
122364;2021053004;69;6,9;69;
122365;2021053003;69;6,9;69;
122366;2021053002;69;6,9;72;
122367;2021053001;69;6,9;71;
122368;2021053000;69;6,9;64;
122369;2021052923;69;6,9;51;
122370;2021052922;69;6,9;46;
122371;2021052921;69;6,9;59;
122372;2021052920;69;6,9;54;
122373;2021052919;69;6,9;51;
122374;2021052918;69;6,9;45;
122375;2021052917;69;6,9;58;
122376;2021052916;69;6,9;52;
122377;2021052915;69;6,9;55;
122378;2021052914;69;6,9;58;
122379;2021052913;69;6,9;56;
122380;2021052912;69;6,9;59;
122381;2021052911;69;6,9;61;
122382;2021052910;69;6,9;63;
122383;2021052909;69;6,9;67;
122384;2021052908;69;6,9;76;
122385;2021052907;69;6,9;87;
122386;2021052906;69;6,9;94;
122387;2021052905;69;6,9;93;
122388;2021052904;69;6,9;90;
122389;2021052903;69;6,9;90;
122390;2021052902;69;6,9;87;
122391;2021052901;69;6,9;85;
122392;2021052900;69;6,9;79;
122393;2021052823;69;6,9;80;
122394;2021052822;69;6,9;74;
122395;2021052821;69;6,9;72;
122396;2021052820;69;6,9;69;
122397;2021052819;69;6,9;64;
122398;2021052818;69;6,9;61;
122399;2021052817;69;6,9;61;
122400;2021052816;69;6,9;69;
122401;2021052815;69;6,9;74;
122402;2021052814;69;6,9;61;
122403;2021052813;69;6,9;76;
122404;2021052812;69;6,9;68;
122405;2021052811;69;6,9;77;
122406;2021052810;69;6,9;57;
122407;2021052809;69;6,9;73;
122408;2021052808;69;6,9;79;
122409;2021052807;69;6,9;86;
122410;2021052806;69;6,9;87;
122411;2021052805;69;6,9;85;
122412;2021052804;69;6,9;84;
122413;2021052803;69;6,9;84;
122414;2021052802;69;6,9;86;
122415;2021052801;69;6,9;85;
122416;2021052800;69;6,9;85;
122417;2021052723;69;6,9;82;
122418;2021052722;69;6,9;82;
122419;2021052721;69;6,9;83;
122420;2021052720;69;6,9;82;
122421;2021052719;69;6,9;79;
122422;2021052718;69;6,9;76;
122423;2021052717;69;6,9;75;
122424;2021052716;69;6,9;76;
122425;2021052715;69;6,9;82;
122426;2021052714;69;6,9;88;
122427;2021052713;69;6,9;65;
122428;2021052712;69;6,9;55;
122429;2021052711;69;6,9;50;
122430;2021052710;69;6,9;61;
122431;2021052709;69;6,9;72;
122432;2021052708;69;6,9;72;
122433;2021052707;69;6,9;74;
122434;2021052706;69;6,9;74;
122435;2021052705;69;6,9;78;
122436;2021052704;69;6,9;79;
122437;2021052703;69;6,9;80;
122438;2021052702;69;6,9;79;
122439;2021052701;69;6,9;76;
122440;2021052700;69;6,9;74;
122441;2021052623;69;6,9;71;
122442;2021052622;69;6,9;72;
122443;2021052621;69;6,9;72;
122444;2021052620;69;6,9;73;
122445;2021052619;69;6,9;64;
122446;2021052618;69;6,9;59;
122447;2021052617;69;6,9;50;
122448;2021052616;69;6,9;53;
122449;2021052615;69;6,9;54;
122450;2021052614;69;6,9;55;
122451;2021052613;69;6,9;46;
122452;2021052612;69;6,9;46;
122453;2021052611;69;6,9;54;
122454;2021052610;69;6,9;55;
122455;2021052609;69;6,9;57;
122456;2021052608;69;6,9;59;
122457;2021052607;69;6,9;67;
122458;2021052606;69;6,9;73;
122459;2021052605;69;6,9;78;
122460;2021052604;69;6,9;78;
122461;2021052603;69;6,9;79;
122462;2021052602;69;6,9;76;
122463;2021052601;69;6,9;76;
122464;2021052600;69;6,9;75;
122465;2021052523;69;6,9;75;
122466;2021052522;69;6,9;74;
122467;2021052521;69;6,9;77;
122468;2021052520;69;6,9;78;
122469;2021052519;69;6,9;68;
122470;2021052518;69;6,9;68;
122471;2021052517;69;6,9;72;
122472;2021052516;69;6,9;70;
122473;2021052515;69;6,9;66;
122474;2021052514;69;6,9;61;
122475;2021052513;69;6,9;46;
122476;2021052512;69;6,9;76;
122477;2021052511;69;6,9;68;
122478;2021052510;69;6,9;53;
122479;2021052509;69;6,9;59;
122480;2021052508;69;6,9;62;
122481;2021052507;69;6,9;70;
122482;2021052506;69;6,9;77;
122483;2021052505;69;6,9;80;
122484;2021052504;69;6,9;87;
122485;2021052503;69;6,9;83;
122486;2021052502;69;6,9;78;
122487;2021052501;69;6,9;63;
122488;2021052500;69;6,9;63;
122489;2021052423;69;6,9;60;
122490;2021052422;69;6,9;56;
122491;2021052421;69;6,9;53;
122492;2021052420;69;6,9;50;
122493;2021052419;69;6,9;45;
122494;2021052418;69;6,9;41;
122495;2021052417;69;6,9;35;
122496;2021052416;69;6,9;33;
122497;2021052415;69;6,9;36;
122498;2021052414;69;6,9;33;
122499;2021052413;69;6,9;34;
122500;2021052412;69;6,9;36;
122501;2021052411;69;6,9;39;
122502;2021052410;69;6,9;41;
122503;2021052409;69;6,9;43;
122504;2021052408;69;6,9;55;
122505;2021052407;69;6,9;63;
122506;2021052406;69;6,9;70;
122507;2021052405;69;6,9;75;
122508;2021052404;69;6,9;82;
122509;2021052403;69;6,9;84;
122510;2021052402;69;6,9;83;
122511;2021052401;69;6,9;80;
122512;2021052400;69;6,9;77;
122513;2021052323;69;6,9;75;
122514;2021052322;69;6,9;68;
122515;2021052321;69;6,9;64;
122516;2021052320;69;6,9;67;
122517;2021052319;69;6,9;66;
122518;2021052318;69;6,9;67;
122519;2021052317;69;6,9;64;
122520;2021052316;69;6,9;77;
122521;2021052315;69;6,9;51;
122522;2021052314;69;6,9;48;
122523;2021052313;69;6,9;52;
122524;2021052312;69;6,9;54;
122525;2021052311;69;6,9;56;
122526;2021052310;69;6,9;64;
122527;2021052309;69;6,9;64;
122528;2021052308;69;6,9;71;
122529;2021052307;69;6,9;79;
122530;2021052306;69;6,9;76;
122531;2021052305;69;6,9;80;
122532;2021052304;69;6,9;80;
122533;2021052303;69;6,9;77;
122534;2021052302;69;6,9;76;
122535;2021052301;69;6,9;74;
122536;2021052300;69;6,9;72;
122537;2021052223;69;6,9;70;
122538;2021052222;69;6,9;74;
122539;2021052221;69;6,9;74;
122540;2021052220;69;6,9;73;
122541;2021052219;69;6,9;77;
122542;2021052218;69;6,9;65;
122543;2021052217;69;6,9;60;
122544;2021052216;69;6,9;64;
122545;2021052215;69;6,9;52;
122546;2021052214;69;6,9;47;
122547;2021052213;69;6,9;45;
122548;2021052212;69;6,9;57;
122549;2021052211;69;6,9;74;
122550;2021052210;69;6,9;46;
122551;2021052209;69;6,9;52;
122552;2021052208;69;6,9;65;
122553;2021052207;69;6,9;78;
122554;2021052206;69;6,9;70;
122555;2021052205;69;6,9;72;
122556;2021052204;69;6,9;72;
122557;2021052203;69;6,9;67;
122558;2021052202;69;6,9;65;
122559;2021052201;69;6,9;67;
122560;2021052200;69;6,9;68;
122561;2021052123;69;6,9;72;
122562;2021052122;69;6,9;71;
122563;2021052121;69;6,9;70;
122564;2021052120;69;6,9;66;
122565;2021052119;69;6,9;61;
122566;2021052118;69;6,9;61;
122567;2021052117;69;6,9;38;
122568;2021052116;69;6,9;46;
122569;2021052115;69;6,9;40;
122570;2021052114;69;6,9;34;
122571;2021052113;69;6,9;38;
122572;2021052112;69;6,9;37;
122573;2021052111;69;6,9;36;
122574;2021052110;69;6,9;42;
122575;2021052109;69;6,9;45;
122576;2021052108;69;6,9;53;
122577;2021052107;69;6,9;59;
122578;2021052106;69;6,9;68;
122579;2021052105;69;6,9;72;
122580;2021052104;69;6,9;75;
122581;2021052103;69;6,9;74;
122582;2021052102;69;6,9;72;
122583;2021052101;69;6,9;67;
122584;2021052100;69;6,9;63;
122585;2021052023;69;6,9;57;
122586;2021052022;69;6,9;57;
122587;2021052021;69;6,9;50;
122588;2021052020;69;6,9;49;
122589;2021052019;69;6,9;44;
122590;2021052018;69;6,9;40;
122591;2021052017;69;6,9;38;
122592;2021052016;69;6,9;36;
122593;2021052015;69;6,9;40;
122594;2021052014;69;6,9;37;
122595;2021052013;69;6,9;41;
122596;2021052012;69;6,9;45;
122597;2021052011;69;6,9;47;
122598;2021052010;69;6,9;56;
122599;2021052009;69;6,9;56;
122600;2021052008;69;6,9;66;
122601;2021052007;69;6,9;77;
122602;2021052006;69;6,9;82;
122603;2021052005;69;6,9;82;
122604;2021052004;69;6,9;80;
122605;2021052003;69;6,9;75;
122606;2021052002;69;6,9;72;
122607;2021052001;69;6,9;71;
122608;2021052000;69;6,9;67;
122609;2021051923;69;6,9;68;
122610;2021051922;69;6,9;62;
122611;2021051921;70;7,0;53;
122612;2021051920;70;7,0;48;
122613;2021051919;70;7,0;44;
122614;2021051918;70;7,0;41;
122615;2021051917;70;7,0;39;
122616;2021051916;70;7,0;38;
122617;2021051915;70;7,0;37;
122618;2021051914;70;7,0;42;
122619;2021051913;70;7,0;42;
122620;2021051912;70;7,0;46;
122621;2021051911;70;7,0;47;
122622;2021051910;70;7,0;53;
122623;2021051909;70;7,0;54;
122624;2021051908;70;7,0;58;
122625;2021051907;70;7,0;68;
122626;2021051906;70;7,0;78;
122627;2021051905;70;7,0;80;
122628;2021051904;70;7,0;79;
122629;2021051903;70;7,0;76;
122630;2021051902;70;7,0;76;
122631;2021051901;70;7,0;79;
122632;2021051900;70;7,0;75;
122633;2021051823;70;7,0;70;
122634;2021051822;70;7,0;69;
122635;2021051821;70;7,0;66;
122636;2021051820;70;7,0;68;
122637;2021051819;70;7,0;61;
122638;2021051818;70;7,0;56;
122639;2021051817;70;7,0;57;
122640;2021051816;70;7,0;57;
122641;2021051815;70;7,0;57;
122642;2021051814;70;7,0;61;
122643;2021051813;70;7,0;65;
122644;2021051812;70;7,0;66;
122645;2021051811;70;7,0;75;
122646;2021051810;70;7,0;77;
122647;2021051809;70;7,0;81;
122648;2021051808;70;7,0;79;
122649;2021051807;70;7,0;80;
122650;2021051806;70;7,0;83;
122651;2021051805;70;7,0;80;
122652;2021051804;70;7,0;81;
122653;2021051803;70;7,0;81;
122654;2021051802;70;7,0;83;
122655;2021051801;70;7,0;79;
122656;2021051800;70;7,0;80;
122657;2021051723;70;7,0;77;
122658;2021051722;70;7,0;72;
122659;2021051721;70;7,0;67;
122660;2021051720;70;7,0;66;
122661;2021051719;70;7,0;63;
122662;2021051718;70;7,0;59;
122663;2021051717;70;7,0;55;
122664;2021051716;70;7,0;42;
122665;2021051715;70;7,0;39;
122666;2021051714;70;7,0;42;
122667;2021051713;70;7,0;43;
122668;2021051712;70;7,0;45;
122669;2021051711;70;7,0;51;
122670;2021051710;70;7,0;54;
122671;2021051709;70;7,0;59;
122672;2021051708;70;7,0;66;
122673;2021051707;70;7,0;78;
122674;2021051706;70;7,0;79;
122675;2021051705;70;7,0;92;
122676;2021051704;70;7,0;96;
122677;2021051703;70;7,0;85;
122678;2021051702;70;7,0;85;
122679;2021051701;70;7,0;83;
122680;2021051700;70;7,0;80;
122681;2021051623;70;7,0;77;
122682;2021051622;70;7,0;72;
122683;2021051621;70;7,0;65;
122684;2021051620;70;7,0;58;
122685;2021051619;70;7,0;59;
122686;2021051618;70;7,0;52;
122687;2021051617;70;7,0;50;
122688;2021051616;70;7,0;47;
122689;2021051615;70;7,0;51;
122690;2021051614;70;7,0;61;
122691;2021051613;70;7,0;58;
122692;2021051612;70;7,0;55;
122693;2021051611;70;7,0;66;
122694;2021051610;70;7,0;76;
122695;2021051609;70;7,0;78;
122696;2021051608;70;7,0;87;
122697;2021051607;70;7,0;68;
122698;2021051606;70;7,0;77;
122699;2021051605;70;7,0;78;
122700;2021051604;70;7,0;82;
122701;2021051603;70;7,0;82;
122702;2021051602;70;7,0;78;
122703;2021051601;70;7,0;74;
122704;2021051600;70;7,0;73;
122705;2021051523;70;7,0;70;
122706;2021051522;70;7,0;67;
122707;2021051521;70;7,0;59;
122708;2021051520;70;7,0;53;
122709;2021051519;70;7,0;48;
122710;2021051518;70;7,0;44;
122711;2021051517;70;7,0;43;
122712;2021051516;70;7,0;60;
122713;2021051515;70;7,0;44;
122714;2021051514;70;7,0;64;
122715;2021051513;70;7,0;48;
122716;2021051512;70;7,0;49;
122717;2021051511;70;7,0;46;
122718;2021051510;70;7,0;54;
122719;2021051509;70;7,0;63;
122720;2021051508;70;7,0;69;
122721;2021051507;70;7,0;78;
122722;2021051506;70;7,0;82;
122723;2021051505;70;7,0;87;
122724;2021051504;70;7,0;90;
122725;2021051503;70;7,0;90;
122726;2021051502;70;7,0;90;
122727;2021051501;70;7,0;85;
122728;2021051500;70;7,0;77;
122729;2021051423;70;7,0;79;
122730;2021051422;70;7,0;81;
122731;2021051421;70;7,0;78;
122732;2021051420;70;7,0;79;
122733;2021051419;70;7,0;80;
122734;2021051418;70;7,0;79;
122735;2021051417;70;7,0;77;
122736;2021051416;70;7,0;78;
122737;2021051415;70;7,0;83;
122738;2021051414;70;7,0;74;
122739;2021051413;70;7,0;81;
122740;2021051412;70;7,0;78;
122741;2021051411;70;7,0;80;
122742;2021051410;70;7,0;86;
122743;2021051409;70;7,0;93;
122744;2021051408;70;7,0;93;
122745;2021051407;70;7,0;95;
122746;2021051406;70;7,0;95;
122747;2021051405;70;7,0;94;
122748;2021051404;70;7,0;93;
122749;2021051403;70;7,0;95;
122750;2021051402;70;7,0;96;
122751;2021051401;70;7,0;96;
122752;2021051400;70;7,0;97;
122753;2021051323;70;7,0;97;
122754;2021051322;70;7,0;98;
122755;2021051321;70;7,0;98;
122756;2021051320;70;7,0;96;
122757;2021051319;70;7,0;96;
122758;2021051318;70;7,0;95;
122759;2021051317;70;7,0;96;
122760;2021051316;70;7,0;95;
122761;2021051315;70;7,0;96;
122762;2021051314;70;7,0;94;
122763;2021051313;70;7,0;95;
122764;2021051312;70;7,0;96;
122765;2021051311;70;7,0;95;
122766;2021051310;70;7,0;98;
122767;2021051309;70;7,0;95;
122768;2021051308;70;7,0;94;
122769;2021051307;70;7,0;93;
122770;2021051306;70;7,0;93;
122771;2021051305;70;7,0;92;
122772;2021051304;70;7,0;92;
122773;2021051303;70;7,0;92;
122774;2021051302;70;7,0;92;
122775;2021051301;70;7,0;90;
122776;2021051300;70;7,0;85;
122777;2021051223;70;7,0;91;
122778;2021051222;70;7,0;93;
122779;2021051221;70;7,0;92;
122780;2021051220;70;7,0;93;
122781;2021051219;70;7,0;93;
122782;2021051218;70;7,0;93;
122783;2021051217;70;7,0;81;
122784;2021051216;70;7,0;79;
122785;2021051215;70;7,0;80;
122786;2021051214;70;7,0;78;
122787;2021051213;70;7,0;78;
122788;2021051212;70;7,0;79;
122789;2021051211;70;7,0;80;
122790;2021051210;70;7,0;81;
122791;2021051209;70;7,0;81;
122792;2021051208;70;7,0;80;
122793;2021051207;70;7,0;83;
122794;2021051206;70;7,0;82;
122795;2021051205;70;7,0;84;
122796;2021051204;70;7,0;85;
122797;2021051203;70;7,0;85;
122798;2021051202;70;7,0;87;
122799;2021051201;70;7,0;91;
122800;2021051200;70;7,0;90;
122801;2021051123;70;7,0;88;
122802;2021051122;70;7,0;75;
122803;2021051121;70;7,0;72;
122804;2021051120;70;7,0;71;
122805;2021051119;70;7,0;67;
122806;2021051118;70;7,0;58;
122807;2021051117;70;7,0;50;
122808;2021051116;70;7,0;47;
122809;2021051115;70;7,0;37;
122810;2021051114;70;7,0;37;
122811;2021051113;70;7,0;35;
122812;2021051112;70;7,0;39;
122813;2021051111;70;7,0;41;
122814;2021051110;70;7,0;42;
122815;2021051109;70;7,0;45;
122816;2021051108;70;7,0;57;
122817;2021051107;70;7,0;62;
122818;2021051106;70;7,0;67;
122819;2021051105;70;7,0;73;
122820;2021051104;70;7,0;74;
122821;2021051103;70;7,0;72;
122822;2021051102;70;7,0;71;
122823;2021051101;70;7,0;66;
122824;2021051100;70;7,0;66;
122825;2021051023;70;7,0;64;
122826;2021051022;70;7,0;54;
122827;2021051021;70;7,0;47;
122828;2021051020;70;7,0;41;
122829;2021051019;70;7,0;39;
122830;2021051018;70;7,0;34;
122831;2021051017;70;7,0;29;
122832;2021051016;70;7,0;26;
122833;2021051015;70;7,0;28;
122834;2021051014;70;7,0;28;
122835;2021051013;70;7,0;28;
122836;2021051012;70;7,0;30;
122837;2021051011;70;7,0;35;
122838;2021051010;70;7,0;37;
122839;2021051009;70;7,0;41;
122840;2021051008;70;7,0;45;
122841;2021051007;70;7,0;48;
122842;2021051006;70;7,0;51;
122843;2021051005;70;7,0;56;
122844;2021051004;70;7,0;59;
122845;2021051003;70;7,0;58;
122846;2021051002;70;7,0;57;
122847;2021051001;70;7,0;54;
122848;2021051000;70;7,0;51;
122849;2021050923;70;7,0;51;
122850;2021050922;70;7,0;52;
122851;2021050921;70;7,0;49;
122852;2021050920;70;7,0;46;
122853;2021050919;70;7,0;40;
122854;2021050918;70;7,0;36;
122855;2021050917;70;7,0;29;
122856;2021050916;70;7,0;25;
122857;2021050915;70;7,0;27;
122858;2021050914;70;7,0;27;
122859;2021050913;70;7,0;30;
122860;2021050912;70;7,0;32;
122861;2021050911;70;7,0;37;
122862;2021050910;70;7,0;40;
122863;2021050909;70;7,0;42;
122864;2021050908;70;7,0;48;
122865;2021050907;70;7,0;53;
122866;2021050906;70;7,0;55;
122867;2021050905;70;7,0;57;
122868;2021050904;70;7,0;56;
122869;2021050903;70;7,0;53;
122870;2021050902;70;7,0;51;
122871;2021050901;70;7,0;49;
122872;2021050900;70;7,0;50;
122873;2021050823;70;7,0;49;
122874;2021050822;70;7,0;48;
122875;2021050821;70;7,0;46;
122876;2021050820;70;7,0;44;
122877;2021050819;70;7,0;41;
122878;2021050818;70;7,0;38;
122879;2021050817;70;7,0;35;
122880;2021050816;70;7,0;33;
122881;2021050815;70;7,0;35;
122882;2021050814;70;7,0;35;
122883;2021050813;70;7,0;36;
122884;2021050812;70;7,0;40;
122885;2021050811;70;7,0;46;
122886;2021050810;70;7,0;48;
122887;2021050809;70;7,0;49;
122888;2021050808;70;7,0;59;
122889;2021050807;70;7,0;67;
122890;2021050806;70;7,0;73;
122891;2021050805;70;7,0;77;
122892;2021050804;70;7,0;79;
122893;2021050803;70;7,0;81;
122894;2021050802;70;7,0;80;
122895;2021050801;70;7,0;80;
122896;2021050800;70;7,0;78;
122897;2021050723;70;7,0;74;
122898;2021050722;70;7,0;77;
122899;2021050721;70;7,0;82;
122900;2021050720;70;7,0;81;
122901;2021050719;70;7,0;81;
122902;2021050718;70;7,0;88;
122903;2021050717;70;7,0;70;
122904;2021050716;70;7,0;76;
122905;2021050715;70;7,0;79;
122906;2021050714;70;7,0;66;
122907;2021050713;70;7,0;81;
122908;2021050712;70;7,0;72;
122909;2021050711;70;7,0;86;
122910;2021050710;70;7,0;91;
122911;2021050709;70;7,0;89;
122912;2021050708;70;7,0;83;
122913;2021050707;70;7,0;73;
122914;2021050706;70;7,0;69;
122915;2021050705;70;7,0;65;
122916;2021050704;70;7,0;69;
122917;2021050703;70;7,0;71;
122918;2021050702;70;7,0;76;
122919;2021050701;70;7,0;71;
122920;2021050700;70;7,0;69;
122921;2021050623;70;7,0;73;
122922;2021050622;70;7,0;64;
122923;2021050621;70;7,0;67;
122924;2021050620;70;7,0;68;
122925;2021050619;70;7,0;63;
122926;2021050618;70;7,0;59;
122927;2021050617;70;7,0;45;
122928;2021050616;70;7,0;44;
122929;2021050615;70;7,0;45;
122930;2021050614;70;7,0;49;
122931;2021050613;70;7,0;59;
122932;2021050612;70;7,0;68;
122933;2021050611;70;7,0;71;
122934;2021050610;70;7,0;52;
122935;2021050609;70;7,0;47;
122936;2021050608;70;7,0;52;
122937;2021050607;70;7,0;56;
122938;2021050606;70;7,0;60;
122939;2021050605;70;7,0;69;
122940;2021050604;70;7,0;67;
122941;2021050603;70;7,0;67;
122942;2021050602;70;7,0;63;
122943;2021050601;70;7,0;64;
122944;2021050600;70;7,0;63;
122945;2021050523;70;7,0;61;
122946;2021050522;70;7,0;67;
122947;2021050521;70;7,0;69;
122948;2021050520;70;7,0;68;
122949;2021050519;70;7,0;71;
122950;2021050518;70;7,0;70;
122951;2021050517;70;7,0;77;
122952;2021050516;70;7,0;64;
122953;2021050515;70;7,0;39;
122954;2021050514;70;7,0;45;
122955;2021050513;70;7,0;41;
122956;2021050512;70;7,0;39;
122957;2021050511;70;7,0;57;
122958;2021050510;70;7,0;45;
122959;2021050509;70;7,0;53;
122960;2021050508;70;7,0;55;
122961;2021050507;70;7,0;58;
122962;2021050506;70;7,0;63;
122963;2021050505;70;7,0;68;
122964;2021050504;70;7,0;75;
122965;2021050503;70;7,0;76;
122966;2021050502;71;7,1;76;
122967;2021050501;71;7,1;77;
122968;2021050500;71;7,1;75;
122969;2021050423;71;7,1;73;
122970;2021050422;71;7,1;73;
122971;2021050421;71;7,1;70;
122972;2021050420;71;7,1;71;
122973;2021050419;71;7,1;81;
122974;2021050418;71;7,1;78;
122975;2021050417;71;7,1;75;
122976;2021050416;71;7,1;47;
122977;2021050415;71;7,1;46;
122978;2021050414;71;7,1;49;
122979;2021050413;71;7,1;49;
122980;2021050412;71;7,1;49;
122981;2021050411;71;7,1;45;
122982;2021050410;71;7,1;50;
122983;2021050409;71;7,1;62;
122984;2021050408;71;7,1;58;
122985;2021050407;71;7,1;52;
122986;2021050406;71;7,1;60;
122987;2021050405;71;7,1;63;
122988;2021050404;71;7,1;67;
122989;2021050403;71;7,1;68;
122990;2021050402;71;7,1;69;
122991;2021050401;71;7,1;73;
122992;2021050400;71;7,1;80;
122993;2021050323;71;7,1;83;
122994;2021050322;71;7,1;80;
122995;2021050321;71;7,1;79;
122996;2021050320;71;7,1;79;
122997;2021050319;71;7,1;73;
122998;2021050318;71;7,1;73;
122999;2021050317;71;7,1;65;
123000;2021050316;71;7,1;69;
123001;2021050315;71;7,1;57;
123002;2021050314;71;7,1;55;
123003;2021050313;71;7,1;47;
123004;2021050312;71;7,1;47;
123005;2021050311;71;7,1;51;
123006;2021050310;71;7,1;54;
123007;2021050309;71;7,1;62;
123008;2021050308;71;7,1;67;
123009;2021050307;71;7,1;72;
123010;2021050306;71;7,1;78;
123011;2021050305;71;7,1;80;
123012;2021050304;71;7,1;80;
123013;2021050303;71;7,1;80;
123014;2021050302;71;7,1;81;
123015;2021050301;71;7,1;79;
123016;2021050300;71;7,1;79;
123017;2021050223;71;7,1;84;
123018;2021050222;71;7,1;85;
123019;2021050221;71;7,1;88;
123020;2021050220;71;7,1;85;
123021;2021050219;71;7,1;83;
123022;2021050218;71;7,1;80;
123023;2021050217;71;7,1;87;
123024;2021050216;71;7,1;85;
123025;2021050215;71;7,1;85;
123026;2021050214;71;7,1;90;
123027;2021050213;71;7,1;70;
123028;2021050212;71;7,1;74;
123029;2021050211;71;7,1;77;
123030;2021050210;71;7,1;86;
123031;2021050209;71;7,1;88;
123032;2021050208;71;7,1;81;
123033;2021050207;71;7,1;84;
123034;2021050206;71;7,1;85;
123035;2021050205;71;7,1;86;
123036;2021050204;71;7,1;87;
123037;2021050203;71;7,1;86;
123038;2021050202;71;7,1;87;
123039;2021050201;71;7,1;84;
123040;2021050200;71;7,1;82;
123041;2021050123;71;7,1;81;
123042;2021050122;71;7,1;77;
123043;2021050121;71;7,1;74;
123044;2021050120;71;7,1;70;
123045;2021050119;71;7,1;68;
123046;2021050118;71;7,1;64;
123047;2021050117;71;7,1;57;
123048;2021050116;71;7,1;53;
123049;2021050115;71;7,1;58;
123050;2021050114;71;7,1;57;
123051;2021050113;71;7,1;58;
123052;2021050112;71;7,1;60;
123053;2021050111;71;7,1;62;
123054;2021050110;71;7,1;66;
123055;2021050109;71;7,1;73;
123056;2021050108;71;7,1;81;
123057;2021050107;71;7,1;83;
123058;2021050106;71;7,1;83;
123059;2021050105;71;7,1;85;
123060;2021050104;71;7,1;84;
123061;2021050103;71;7,1;83;
123062;2021050102;71;7,1;84;
123063;2021050101;71;7,1;85;
123064;2021050100;71;7,1;83;
123065;2021043023;71;7,1;80;
123066;2021043022;71;7,1;78;
123067;2021043021;71;7,1;77;
123068;2021043020;71;7,1;77;
123069;2021043019;71;7,1;75;
123070;2021043018;71;7,1;72;
123071;2021043017;71;7,1;70;
123072;2021043016;71;7,1;65;
123073;2021043015;71;7,1;65;
123074;2021043014;71;7,1;68;
123075;2021043013;71;7,1;67;
123076;2021043012;71;7,1;63;
123077;2021043011;71;7,1;61;
123078;2021043010;71;7,1;66;
123079;2021043009;71;7,1;70;
123080;2021043008;71;7,1;72;
123081;2021043007;71;7,1;77;
123082;2021043006;71;7,1;81;
123083;2021043005;71;7,1;84;
123084;2021043004;71;7,1;86;
123085;2021043003;71;7,1;74;
123086;2021043002;71;7,1;70;
123087;2021043001;71;7,1;68;
123088;2021043000;71;7,1;67;
123089;2021042923;71;7,1;69;
123090;2021042922;71;7,1;68;
123091;2021042921;71;7,1;72;
123092;2021042920;71;7,1;70;
123093;2021042919;71;7,1;68;
123094;2021042918;71;7,1;71;
123095;2021042917;71;7,1;65;
123096;2021042916;71;7,1;78;
123097;2021042915;71;7,1;52;
123098;2021042914;71;7,1;56;
123099;2021042913;71;7,1;58;
123100;2021042912;71;7,1;67;
123101;2021042911;71;7,1;80;
123102;2021042910;71;7,1;88;
123103;2021042909;71;7,1;94;
123104;2021042908;71;7,1;88;
123105;2021042907;71;7,1;81;
123106;2021042906;71;7,1;66;
123107;2021042905;71;7,1;63;
123108;2021042904;71;7,1;55;
123109;2021042903;71;7,1;56;
123110;2021042902;71;7,1;54;
123111;2021042901;71;7,1;51;
123112;2021042900;71;7,1;49;
123113;2021042823;71;7,1;48;
123114;2021042822;71;7,1;47;
123115;2021042821;71;7,1;46;
123116;2021042820;71;7,1;42;
123117;2021042819;71;7,1;38;
123118;2021042818;71;7,1;34;
123119;2021042817;71;7,1;28;
123120;2021042816;71;7,1;27;
123121;2021042815;71;7,1;29;
123122;2021042814;71;7,1;28;
123123;2021042813;71;7,1;28;
123124;2021042812;71;7,1;29;
123125;2021042811;71;7,1;28;
123126;2021042810;71;7,1;34;
123127;2021042809;71;7,1;38;
123128;2021042808;71;7,1;44;
123129;2021042807;71;7,1;48;
123130;2021042806;71;7,1;51;
123131;2021042805;71;7,1;54;
